Model type: 	Bend axon, antidromic
Parameter ID:	166
Pulse duration in ms:	0.0100
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Increasing amplitude: 	12.0036 kV/m: 	 no AP.
Increasing amplitude: 	13.0900 kV/m: 	 no AP.
Increasing amplitude: 	14.2747 kV/m: 	 no AP.
Increasing amplitude: 	15.5667 kV/m: 	 no AP.
Increasing amplitude: 	16.9756 kV/m: 	 AP.
Lower bound: 15.5667 kV/m.   Upper bound: 16.9756 kV/m.   Search amplitude: 16.2559 kV/m: AP.
Lower bound: 15.5667 kV/m.   Upper bound: 16.2559 kV/m.   Search amplitude: 15.9076 kV/m: no AP.
Lower bound: 15.9076 kV/m.   Upper bound: 16.2559 kV/m.   Search amplitude: 16.0808 kV/m: no AP.
Lower bound: 16.0808 kV/m.   Upper bound: 16.2559 kV/m.   Search amplitude: 16.1681 kV/m: no AP.
Lower bound: 16.1681 kV/m.   Upper bound: 16.2559 kV/m.   Search amplitude: 16.2119 kV/m: no AP.
Binary search ended. Threshold: 16.2119 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 2.76 min.
 
-----------------------------------------------------------
Total run time: 3.717 min.
Results saved in UF_BndA_RMG/Results/result_166.mat.
