Model type: 	Axon terminal with synapse
Parameter ID:	144
Pulse duration in ms:	0.0068
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Lower bound: 10.2785 kV/m.   Upper bound: 10.5036 kV/m.   Search amplitude: 10.3904 kV/m: AP.
Lower bound: 10.2785 kV/m.   Upper bound: 10.3904 kV/m.   Search amplitude: 10.3343 kV/m: AP.
Lower bound: 10.2785 kV/m.   Upper bound: 10.3343 kV/m.   Search amplitude: 10.3063 kV/m: AP.
Binary search ended. Threshold: 10.3063 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 1.59 min.
 
-----------------------------------------------------------
Total run time: 2.937 min.
Results saved in UF_TrmS_RMG/Results/result_144.mat.
